experiment run,colony_size,burma_colony,brazil_colony,evaporation_rate,burma_evap,brazil_evap,q,burma_q,brazil_q,min-max,burma_mmas,brazil_mmas,alpha-beta,burma_ab,brazil_ab,starting_point,burma_start,brazil_start,top_ranked,burma_rank,brazil_rank,
0,10,3548,29552,0.25,3338,27658,0.5,3121,27791,25-75,3237,35820,0.5 - 3,3199,26539,0,3381,27158,1,2951,26292,
1,25,3439,27235,0.4,3232,27000,1,3382,27148,10-90,3473,37376,1 - 2,3230,27034,Rand per run,3230,27034,3,2903,24018,
2,50,3386,26865,0.5,3045,26570,2,3222,27009,40-60,3365,35734,2 - 1,3293,29905,Rand per iteration,2942,25130,5,2880,23299,
3,75,3045,26570,0.6,3214,27124,3,3103,26737,5-60,3217,37510,n/a,n/a,n/a,Rand per ant,2891,24738,10,2893,23505,
4,100,3138,27375,0.7,3467,27347,4,3193,27999,40-90,3339,35804,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
5,150,3424,27329,0.8,3159,27478,6,3126,28013,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
6,n/a,n/a,n/a,0.9,3064,27798,8,3199,27229,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
7,n/a,n/a,n/a,n/a,n/a,n/a,15,3383,27744,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
